color,x,y
cat,-0.019719230797166896,-2.737810297018256
cat,-1.7004582353064492,-4.794394567115912
cat,-3.7854136758854926,-0.9048224898460796
cat,-4.254317913889393,-5.066732495753517
cat,-1.6905853357426126,-0.304287704011327
cat,-5.4848562704280726,0.4665412213301342
cat,-3.186173795008167,-0.9132463860027688
cat,-2.426291558619239,-2.597581820253509
cat,1.5328640916048897,-5.220615797010331
cat,-1.1990597743027667,-4.959654959527353
cat,-0.9719344711148258,-1.9210782657198284
cat,-2.9708707211899172,-1.4383603256405944
cat,1.2803849715375641,-4.183090379595331
cat,-4.70271711317608,-0.7941748694587676
cat,-5.369363104560178,-0.26195909119064237
cat,-2.0076084296996077,-1.1320760152084517
cat,-3.930234604887668,0.9149611733422316
cat,-5.950503511278424,-0.30654073437914253
cat,0.15158367398407138,-0.9875388984402721
cat,-0.6717356320326806,-6.065239470381264
cat,-2.78271167931672,-4.103470683987734
cat,-0.5697655652948742,-4.825038659279535
cat,-4.159944496764258,0.609744495711457
cat,-0.1476553764712251,-4.398280161925387
cat,-2.08689137034086,-4.822941776321438
cat,-4.970829551538763,-0.33274442462213405
cat,-1.8788206717280655,-4.399820642998609
cat,-4.825070441021797,-3.4669252448883947
cat,-2.919441280263545,-5.373155703426627
cat,-1.1506782197164263,-4.839246707043073
cat,-2.3482315945104433,-5.26536112829775
cat,-3.1485166247315246,-1.6284231601803212
cat,-1.2549057683688387,-3.234417818677842
cat,-3.8745298347723054,-1.6008087631185377
cat,-1.0326802285218122,-4.4894392786981765
cat,-1.451032168488589,-3.967076857359231
cat,-2.8647498063461994,-3.2944430706104115
cat,-3.8430018091195777,-0.3433692153537048
cat,-0.9548799480007912,-5.070413630620905
cat,-0.6893638929168715,-3.649004547350675
cat,-1.7620265243823523,-2.892315364322103
cat,-0.9387352031475871,-4.798312737780453
cat,-2.2179254545864566,0.612540921890544
cat,-3.6392694232941234,-0.8139628613646694
cat,-2.893468208391605,-3.1768333952041896
cat,-2.0537768545099033,-1.269105774377245
cat,-3.2685746071972885,-1.3226135652595403
cat,-0.6746066691072586,-0.06920584506686579
cat,-4.849616692919737,-2.3985329011735423
cat,-1.405917136189985,-1.5452837215319333
cat,-0.8533066482277645,-0.7198594414898657
cat,-4.346760606341185,-2.3284971986746177
cat,-5.095003988953058,-2.058190797250988
cat,-0.5156865147348844,-2.1465977103251777
cat,0.5096143237185345,-3.6895203722843064
cat,-5.694755764666075,-2.0345129537379507
cat,-4.0300744495916545,-4.114311483381044
cat,-3.756710834604643,-1.6501727944553444
cat,-2.280178269036767,-0.4076495761921706
cat,-3.302243062668737,-2.9823091474161387
cat,-2.1922074584189577,0.1947808588921182
cat,-3.9237865664181197,-4.158802053794715
cat,-3.874523761740371,0.5526674724241437
cat,-2.6794105486710276,0.01468374887352595
cat,-3.2485151620872554,-5.471583810035751
cat,0.7028995225751102,-4.3511584671049635
cat,-1.6723614969845928,-3.722618772238152
cat,-2.5133123211679798,-0.7079808654631574
cat,-1.6215709303373216,-1.2920696737621236
cat,-3.3118323776895586,-1.1657175742454782
cat,-1.9959615586286779,-3.5580650775268206
cat,1.5300487107152956,-5.297149782860629
cat,-1.7596685862855854,-5.006982908537341
cat,-3.8934086142238615,-2.1675680451904746
cat,0.13388546445036317,-1.0550262574355926
cat,-4.20908898631146,-1.7785712480442206
cat,-0.5071505146288039,-4.608172912192149
cat,-2.107280712220658,-5.282836101063306
cat,-4.263439851551351,-3.005058321993034
cat,-2.3031131410505963,-1.1873474329250697
cat,-5.152956356646967,-2.633310972091603
cat,-0.5650653268696734,-4.876600780045979
cat,-4.607068274788654,0.03810105077494201
cat,-1.715766956001327,-3.8237791378254102
cat,-1.8232073800427502,-1.1644207658703096
cat,-3.844070683333145,1.2702011632231056
cat,-1.0506288637638668,-0.6199312830404015
cat,-4.976288302827213,-0.8744286720662668
cat,0.48678894270022144,-5.843402579495057
cat,-4.137290778902042,-4.052764584102206
cat,-3.4941225862785488,-1.2319150796643956
cat,0.11750242429259236,-5.875923835858535
cat,-4.637423890560103,-1.3116430777408397
cat,-4.207943939230128,-3.7580586684328408
cat,0.4737644007787938,-3.01561152720248
cat,-3.291056910339243,1.3602096837559996
cat,-2.2984831834487727,-1.1103105530000394
cat,-2.190292714229728,-1.539174262253796
cat,-4.806723671282505,-1.4299005523104342
cat,-0.631229824180087,-3.284076233388195
cat,-2.19454469364425,-5.47866742420271
cat,-1.9978868674118548,-0.4547516922824134
cat,-4.719416196819,-2.1014502003107642
